modelo,provincia,periodo,real,predicho
Ridge,Bocas del Toro,2011-08,6.052731308537708,4.122531842707892
Ridge,Bocas del Toro,2011-08,7.294117647058823,6.179118876064958
Ridge,Bocas del Toro,2011-08,6.338556426071011,4.895095280078891
Ridge,Bocas del Toro,2011-08,8.314873671706957,4.654516273714531
Ridge,Bocas del Toro,2011-08,8.612289800408613,6.612786418939213
Ridge,Bocas del Toro,2011-08,8.401139601139601,5.3659742952368905
Ridge,Bocas del Toro,2011-08,11.610664142609243,5.000763551178579
Ridge,Bocas del Toro,2011-08,9.623663380086098,6.868393344477548
Ridge,Bocas del Toro,2011-08,10.890889883796971,5.651250492706248
Ridge,Chiriquí,2011-08,2.200369634201625,2.559838534678369
Ridge,Chiriquí,2011-08,1.1491935483870968,4.381688893190982
Ridge,Chiriquí,2011-08,1.9302018291577063,3.3526480678125505
Ridge,Chiriquí,2011-08,3.4988723300756206,3.09651014233751
Ridge,Chiriquí,2011-08,2.932342310237744,4.791807890482042
Ridge,Chiriquí,2011-08,3.3047664453411167,3.808798783960551
Ridge,Chiriquí,2011-08,4.83566979591104,3.616099938312497
Ridge,Chiriquí,2011-08,3.837396710071887,5.210271812580648
Ridge,Chiriquí,2011-08,4.424050632911392,4.265425172727809
Ridge,Coclé,2011-08,1.7842575355073524,2.672982422513427
Ridge,Coclé,2011-08,5.451792024230187,4.503762665666283
Ridge,Coclé,2011-08,2.9325555332049773,3.3751165262842253
Ridge,Coclé,2011-08,3.119870960439187,3.2012726219771475
Ridge,Coclé,2011-08,7.013812229072992,5.035458928038113
Ridge,Coclé,2011-08,4.461263066121298,3.890284489054335
Ridge,Coclé,2011-08,5.911933184660458,3.720686164189657
Ridge,Coclé,2011-08,9.231270358306189,5.447810601094778
Ridge,Coclé,2011-08,7.245087521913184,4.342455739730887
Ridge,Colón,2011-08,2.422048997772829,4.432216110432622
Ridge,Colón,2011-08,3.611646545602112,6.235081605306842
Ridge,Colón,2011-08,2.7953771212072973,5.1659535043389795
Ridge,Colón,2011-08,3.845552358313524,5.01947394840373
Ridge,Colón,2011-08,5.86544384367942,6.674310284472259
Ridge,Colón,2011-08,4.66704398897724,5.656010419163394
Ridge,Colón,2011-08,4.569258350632195,5.54590412373642
Ridge,Colón,2011-08,6.51930774664469,7.076878893836447
Ridge,Colón,2011-08,5.436832181018227,6.114275142156453
Ridge,Comarca Emberá,2011-08,0.6335128286347799,3.096054190720746
Ridge,Comarca Emberá,2011-08,0.0,4.963804033921859
Ridge,Comarca Emberá,2011-08,0.4864996351252736,3.8999334381120243
Ridge,Comarca Kuna Yala,2011-08,0.0,2.560362909578691
Ridge,Comarca Kuna Yala,2011-08,0.0,4.0000995795735665
Ridge,Comarca Kuna Yala,2011-08,0.0,3.2138382038784137
Ridge,Comarca Ngäbe Buglé,2011-08,1.3385941838374982,2.395796038981528
Ridge,Comarca Ngäbe Buglé,2011-08,0.8719959946595461,3.927198274750627
Ridge,Comarca Ngäbe Buglé,2011-08,1.146382964096042,3.0857528103834335
Ridge,Darién,2011-08,0.7520993063161738,3.0019154637636816
Ridge,Darién,2011-08,4.093023255813953,5.029501978424287
Ridge,Darién,2011-08,1.550430675187552,3.817308363649604
Ridge,Darién,2011-08,1.4036034820163306,3.4964015364791674
Ridge,Darién,2011-08,4.296724470134874,5.4848969923282755
Ridge,Darién,2011-08,2.154030686191214,4.29592224523949
Ridge,Darién,2011-08,9.341637010676155,3.904579329905017
Ridge,Darién,2011-08,5.280898876404494,5.623035472959397
Ridge,Darién,2011-08,7.547169811320755,4.586351400516043
Ridge,Herrera,2011-08,0.9142928224903596,2.436515628389333
Ridge,Herrera,2011-08,8.78211897219289,4.5207115724664915
Ridge,Herrera,2011-08,2.96875,3.2011818629263975
Ridge,Herrera,2011-08,2.815203303493384,2.962825291557314
Ridge,Herrera,2011-08,5.956097069781492,4.679117002512811
Ridge,Herrera,2011-08,3.991402552838477,3.622840989942386
Ridge,Herrera,2011-08,4.602608339668986,3.476416292761561
Ridge,Herrera,2011-08,4.823695345557122,4.955648305922662
Ridge,Herrera,2011-08,4.702835768406918,4.04758289397785
Ridge,Los Santos,2011-08,1.1905904944791168,1.347048555002535
Ridge,Los Santos,2011-08,1.782198735882292,3.034651228750017
Ridge,Los Santos,2011-08,1.377907548964929,2.055622166258266
Ridge,Los Santos,2011-08,1.5164365437459717,1.858129302761348
Ridge,Los Santos,2011-08,2.633201776023681,3.505824522687048
Ridge,Los Santos,2011-08,1.912765631497166,2.544029079502526
Ridge,Los Santos,2011-08,2.301376199838094,2.4509630876459148
Ridge,Los Santos,2011-08,3.884234577303884,3.96305440591341
Ridge,Los Santos,2011-08,2.984485932158822,3.0667192742003424
Ridge,Panamá,2011-08,2.731448909489716,3.709802414566539
Ridge,Panamá,2011-08,4.226597500589484,5.622150296616454
Ridge,Panamá,2011-08,3.119926481850207,4.4692320739846325
Ridge,Panamá,2011-08,5.075421777169079,4.254827375930535
Ridge,Panamá,2011-08,5.285732582316218,5.861061796409224
Ridge,Panamá,2011-08,5.161948539716351,4.876295399192263
Ridge,Panamá,2011-08,5.313067103040983,4.721661558383375
Ridge,Panamá,2011-08,5.337066613334096,6.3014572110912574
Ridge,Panamá,2011-08,5.323228413132364,5.330364595366975
Ridge,Veraguas,2011-08,1.7878300609343265,2.59893186963463
Ridge,Veraguas,2011-08,2.3881547524279574,4.524573076814567
Ridge,Veraguas,2011-08,1.9138835957610405,3.387213780550541
Ridge,Veraguas,2011-08,2.7841196389991265,3.1508663355304356
