provincia,periodo,anio,area,sexo,poblacion_15_mas,pea,ocupados,desocupados,tasa_desempleo,tasa_participacion,tasa_actividad_total,tasa_actividad_urbana,tasa_actividad_rural,pct_jovenes_pea,pct_mayores_pea,pct_sector_primario,pct_sector_secundario,pct_sector_terciario,pct_sin_educacion,pct_primaria,pct_secundaria,pct_universitaria,pct_subempleo,pct_microempresa,pct_empresa_grande,mediana_salario,empleo_informal_pct,pib_crecimiento,inflacion,indice_gini,gasto_educacion_pib,desempleo_juvenil_nacional,exportaciones_pib,pib_per_capita,poblacion_total_nacional,brecha_desempleo_urb_rur,ratio_pea_urbana,brecha_desempleo_genero,anio_norm,post_covid,tasa_desempleo_lag1,tasa_participacion_lag1,empleo_informal_pct_lag1,mediana_salario_lag1,pct_subempleo_lag1,tasa_participacion_delta,empleo_informal_pct_delta,mediana_salario_delta,empleo_formal_pct,educacion_alta,ratio_terciario_primario,ratio_micro_grande,salario_rel_pib,lag_x_post_covid,lag_x_sexo_mujeres,lag_x_area_urbana,prov_Chiriquí,prov_Coclé,prov_Colón,prov_Comarca Emberá,prov_Comarca Kuna Yala,prov_Comarca Ngäbe Buglé,prov_Darién,prov_Herrera,prov_Los Santos,prov_Panamá,prov_Panamá Oeste,prov_Veraguas,area_total,area_urbana,sexo_mujeres,sexo_total
Chiriquí,2011-08,2011,urbana,mujeres,87662.0,39089.0,37589.0,1500.0,3.837396710071887,44.59058657114827,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.62581384604574,2.62652699929151,50.5,3.08107995986939,11.523,54.8890820604972,13213.1989591137,3892101.0,2.4938488037536857,0.5511820179773713,-0.5665300198378764,0.0,0,,,,,,,,,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5829145211258322,0.0,3.837396710071887,3.837396710071887,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2012-08,2012,urbana,mujeres,89907.0,40375.0,37658.0,2717.0,6.729411764705882,44.90751554383974,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.62581384604574,2.62652699929151,50.5,3.08107995986939,11.523,54.8890820604972,13213.1989591137,3892101.0,1.1534392461866787,0.5524984009784889,2.231839852848805,0.07692307692307693,0,3.837396710071887,44.59058657114827,47.955546390537776,641.8471286493423,6.523058827993094,0.31692897269147124,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5829145211258322,0.0,3.837396710071887,3.837396710071887,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2013-08,2013,urbana,mujeres,91041.0,41852.0,39538.0,2314.0,5.529006976966453,45.97049680912996,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.62581384604574,2.62652699929151,50.5,3.08107995986939,11.523,54.8890820604972,13213.1989591137,3892101.0,0.9725661941929404,0.5476924574840971,2.225040136619473,0.15384615384615385,0,6.729411764705882,44.90751554383974,47.955546390537776,641.8471286493423,6.523058827993094,1.0629812652902189,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5829145211258322,0.0,6.729411764705882,6.729411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2014-03,2014,urbana,mujeres,93444.0,42724.0,40985.0,1739.0,4.070311768560996,45.72150164804589,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.62581384604574,2.62652699929151,50.5,3.08107995986939,11.523,54.8890820604972,13213.1989591137,3892101.0,1.8187382385733608,0.5628871356849449,0.45580803100231204,0.23076923076923078,0,5.529006976966453,45.97049680912996,47.955546390537776,641.8471286493423,6.523058827993094,-0.24899516108407482,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5829145211258322,0.0,5.529006976966453,5.529006976966453,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2014-08,2014,urbana,mujeres,93529.0,38258.0,36441.0,1817.0,4.749333472737728,40.904959958943216,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.62581384604574,2.62652699929151,50.5,3.08107995986939,11.523,54.8890820604972,13213.1989591137,3892101.0,1.4891630609784041,0.5484118254841183,0.17968492340683984,0.23076923076923078,0,4.070311768560996,45.72150164804589,47.955546390537776,641.8471286493423,6.523058827993094,-4.816541689102671,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5829145211258322,0.0,4.070311768560996,4.070311768560996,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2015-03,2015,urbana,mujeres,95419.0,45083.0,43284.0,1799.0,3.9904176740678303,47.24740355694358,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,5.26691726402875,0.137492058461504,50.8,3.26552009582519,11.675,47.3866199170958,14082.6548434996,3960035.0,-1.053567688926246,0.5702596725986454,1.6342414868686919,0.3076923076923077,0,4.749333472737728,40.904959958943216,47.955546390537776,641.8471286493423,6.523058827993094,6.342443598000365,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5469256776784062,0.0,4.749333472737728,4.749333472737728,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2015-08,2015,urbana,mujeres,92983.0,43259.0,41065.0,2194.0,5.071776971266095,46.52355806975469,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,5.26691726402875,0.137492058461504,50.8,3.26552009582519,11.675,47.3866199170958,14082.6548434996,3960035.0,2.7671877340188646,0.5734601936525013,1.0592481661240778,0.3076923076923077,0,3.9904176740678303,47.24740355694358,47.955546390537776,641.8471286493423,6.523058827993094,-0.7238454871888891,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5469256776784062,0.0,3.9904176740678303,3.9904176740678303,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2016-03,2016,urbana,mujeres,94893.0,45628.0,43889.0,1739.0,3.811256246164636,48.0836310370628,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.57196696307969,0.739734025300033,50.4,3.32278990745544,12.295,41.7407554629987,14832.3611652459,4029086.0,-1.4018090816992341,0.5807606749498128,0.2999999999999998,0.38461538461538464,0,5.071776971266095,46.52355806975469,47.955546390537776,641.8471286493423,6.523058827993094,1.560072967308109,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5192811486979737,0.0,5.071776971266095,5.071776971266095,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2016-08,2016,urbana,mujeres,95100.0,43424.0,40855.0,2569.0,5.916083271923361,45.66140904311251,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,4.57196696307969,0.739734025300033,50.4,3.32278990745544,12.295,41.7407554629987,14832.3611652459,4029086.0,1.4939093269123442,0.5930134848545476,2.4252087873932715,0.38461538461538464,0,3.811256246164636,48.0836310370628,47.955546390537776,641.8471286493423,6.523058827993094,-2.422221993950288,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.5192811486979737,0.0,3.811256246164636,3.811256246164636,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2017-08,2017,urbana,mujeres,96586.0,44300.0,42296.0,2004.0,4.523702031602709,45.86586047667364,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,18.391071438935352,17.7,63.86788236864557,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,47.955546390537776,5.74405946988693,0.875585918759878,49.9,3.37834000587463,14.817,41.4710106747803,15694.6297518495,4098707.0,-2.763030397872698,0.5780827683991315,3.3771615828188204,0.46153846153846156,0,5.916083271923361,45.66140904311251,47.955546390537776,641.8471286493423,6.523058827993094,0.20445143356112538,0.0,0.0,52.044453609462224,79.51852573709785,3.472765715728351,0.4151293897198978,0.49075165617618105,0.0,5.916083271923361,5.916083271923361,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2018-08,2018,urbana,mujeres,99679.0,45582.0,43341.0,2241.0,4.916414374095038,45.728789414019,57.86312750176413,57.482250280258725,58.401106171664765,16.41779122154885,11.482175760738745,17.14712089405135,16.542956895543664,66.30992221040498,1.339444731943035,17.655400455666598,49.8309732312676,29.687552505830244,6.523058827993094,24.3763398023258,58.71986037599834,641.8471286493423,50.26769119809149,3.9181980847881,0.761578359399944,49.2,3.4524199962616,14.1,42.3471044405144,16151.3273433486,4167860.0,-0.7947825177761585,0.5816336312028033,2.271260444270472,0.5384615384615384,0,4.523702031602709,45.86586047667364,47.955546390537776,641.8471286493423,6.523058827993094,-0.1370710626546412,2.3121448075537145,0.0,49.73230880190851,79.51852573709785,3.8671169708384747,0.4151293897198978,0.4768750815371217,0.0,4.523702031602709,4.523702031602709,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2019-08,2019,urbana,mujeres,103842.0,50979.0,45975.0,5004.0,9.81580650856235,49.092852602993005,60.29601363028165,60.01507151226109,60.70115370301451,15.082875441673783,13.825210916608958,17.7192205012916,17.008030609267085,65.27274888944132,1.1507086841725012,18.341061646984645,46.77381218227436,32.80176547085791,9.814971959858324,25.07102272727273,53.51055194805194,606.7488866050018,51.21459140004075,3.10306793272473,-0.355083821021245,49.8,3.28122011579173,17.128,40.2141744857332,16477.9066268111,4234700.0,2.6964157650756153,0.5877610235205508,4.2640213884207645,0.6153846153846154,0,4.916414374095038,45.728789414019,50.26769119809149,641.8471286493423,6.523058827993094,3.364063188974008,0.946900201949262,-35.09824204434051,48.78540859995925,79.57557765313227,3.6837257533243872,0.4685248388320062,0.4418635694544581,0.0,4.916414374095038,4.916414374095038,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2021-10,2021,urbana,mujeres,108946.0,47306.0,42605.0,4701.0,9.93742865598444,43.42151157454152,53.80258297640557,53.41731691266335,54.384234981249904,13.525116176145168,14.445120601903074,20.041642197426725,15.373207813547356,64.58514998902592,0.367971630574288,13.79819426824835,48.32891915752302,36.62875668617807,11.411468621218654,25.957306007038795,52.53526916868038,689.6497826405509,50.699209655679454,16.4671248604202,1.63070337301898,50.9,3.71198010444641,22.338,41.6067040108244,15509.8069124139,4345405.0,2.773554864479232,0.5972449657003762,4.452299206116109,0.7692307692307693,1,9.81580650856235,49.092852602993005,51.21459140004075,606.7488866050018,9.814971959858324,-5.6713410284514865,-0.5153817443612994,82.90089603554918,49.300790344320546,84.95767584370108,3.222547800864264,0.4940929478003626,0.5335848111083022,9.81580650856235,9.81580650856235,9.81580650856235,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2022-04,2022,urbana,mujeres,111719.0,52288.0,48189.0,4099.0,7.839274785801714,46.803140020945406,53.80258297640557,53.41731691266335,54.384234981249904,13.525116176145168,14.445120601903074,19.05630296758314,19.681705031745587,61.21816351075434,0.367971630574288,13.79819426824835,48.32891915752302,36.62875668617807,11.411468621218654,25.957306007038795,52.53526916868038,689.6497826405509,54.68570112825236,11.0385475261766,2.85965128834711,50.9,3.37781000137329,19.186,48.0265978333415,17378.6070017557,4400773.0,1.7350919916992016,0.6089564819247019,2.5535834134233424,0.8461538461538461,1,9.93742865598444,43.42151157454152,50.699209655679454,689.6497826405509,11.411468621218654,3.3816284464038873,3.986491472572908,0.0,45.31429887174764,84.95767584370108,3.2124889919567896,0.4940929478003626,0.47620602680356006,9.93742865598444,9.93742865598444,9.93742865598444,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Chiriquí,2023-08,2023,urbana,mujeres,107404.0,47097.0,44523.0,2574.0,5.465316262182304,43.85032214815091,54.79115624169791,56.22515180646065,52.53826946866723,11.484462546332212,15.186190845616755,17.6504077196453,16.088536694768077,66.26105558558662,0.1578201269544207,12.468488348545051,45.92426030544479,39.601678759226544,9.897415376780224,19.797559068007786,58.62602084432238,676.1042923514319,47.80389465557176,7.16632946099945,1.48641355277038,48.9,2.47225999832153,16.765,45.6292440103821,18797.1933994045,4458759.0,1.976024780197788,0.6270472373071287,-0.5073512470834043,0.9230769230769231,1,7.839274785801714,46.803140020945406,54.68570112825236,689.6497826405509,11.411468621218654,-2.9528178727944976,-6.881806472680601,-13.545490289119016,52.19610534442824,85.52593906467133,3.7540807350210144,0.33769235542318193,0.4316203667125228,7.839274785801714,7.839274785801714,7.839274785801714,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
